"Trial.key","Frame.number","Evidence.for.stim.1","Evidence.for.stim.2"
540,0,190,210
541,0,193,207
542,0,204,196
543,0,193,207
544,0,207,193
545,0,190,210
546,0,213,187
547,0,187,213
548,0,190,210
549,0,193,207
550,0,210,190
551,0,213,187
552,0,184,216
553,0,216,184
554,0,187,213
555,0,190,210
556,0,213,187
557,0,187,213
558,0,190,210
559,0,207,193
560,0,204,196
561,0,201,199
562,0,204,196
563,0,204,196
564,0,201,199
565,0,199,201
566,0,199,201
567,0,201,199
568,0,196,204
569,0,204,196
570,0,193,207
571,0,193,207
572,0,204,196
573,0,207,193
574,0,210,190
575,0,190,210
576,0,207,193
577,0,196,204
578,0,199,201
579,0,201,199
580,0,204,196
581,0,207,193
582,0,193,207
583,0,204,196
584,0,193,207
585,0,193,207
586,0,210,190
587,0,187,213
588,0,187,213
589,0,210,190
590,0,207,193
591,0,196,204
592,0,201,199
593,0,201,199
594,0,199,201
595,0,199,201
596,0,204,196
597,0,196,204
598,0,201,199
599,0,199,201
600,0,201,199
601,0,199,201
602,0,201,199
603,0,196,204
604,0,207,193
605,0,207,193
606,0,204,196
607,0,201,199
608,0,196,204
609,0,204,196
610,0,199,201
611,0,204,196
612,0,196,204
613,0,199,201
614,0,204,196
615,0,196,204
616,0,201,199
617,0,204,196
618,0,193,207
619,0,193,207
620,0,204,196
621,0,207,193
622,0,207,193
623,0,196,204
624,0,199,201
625,0,196,204
626,0,204,196
627,0,193,207
628,0,207,193
629,0,173,227
630,0,170,230
631,0,170,230
632,0,233,167
633,0,233,167
634,0,230,170
635,0,173,227
636,0,224,176
637,0,179,221
638,0,218,182
639,0,185,215
640,0,218,182
641,0,182,218
642,0,185,215
643,0,182,218
644,0,182,218
645,0,179,221
646,0,179,221
647,0,224,176
648,0,224,176
649,0,221,179
650,0,176,224
651,0,227,173
652,0,170,230
653,0,230,170
654,0,227,173
655,0,176,224
656,0,179,221
657,0,224,176
658,0,224,176
659,0,173,227
660,0,170,230
661,0,230,170
662,0,227,173
663,0,224,176
664,0,179,221
665,0,218,182
666,0,179,221
667,0,179,221
668,0,176,224
669,0,224,176
670,0,221,179
671,0,182,218
672,0,185,215
673,0,182,218
674,0,182,218
675,0,221,179
676,0,221,179
677,0,218,182
678,0,185,215
679,0,212,188
680,0,215,185
681,0,182,218
682,0,215,185
683,0,218,182
684,0,182,218
685,0,215,185
686,0,212,188
687,0,215,185
688,0,218,182
689,0,218,182
690,0,179,221
691,0,221,179
692,0,218,182
693,0,179,221
694,0,176,224
695,0,182,218
696,0,185,215
697,0,188,212
698,0,212,188
699,0,191,209
700,0,206,194
701,0,203,197
702,0,199,201
703,0,199,201
704,0,204,196
705,0,204,196
706,0,201,199
707,0,196,204
708,0,193,207
709,0,207,193
710,0,204,196
711,0,193,207
712,0,190,210
713,0,187,213
714,0,216,184
715,0,184,216
716,0,187,213
717,0,184,216
718,0,184,216
719,0,181,219
720,0,222,178
721,0,222,178
722,0,181,219
723,0,216,184
724,0,213,187
725,0,190,210
726,0,207,193
727,0,204,196
728,0,199,201
729,0,196,204
730,0,204,196
731,0,207,193
732,0,193,207
733,0,210,190
734,0,210,190
735,0,193,207
736,0,204,196
737,0,207,193
738,0,190,210
739,0,210,190
740,0,207,193
741,0,204,196
742,0,201,199
743,0,201,199
744,0,199,201
745,0,204,196
746,0,207,193
747,0,193,207
748,0,196,204
749,0,207,193
750,0,207,193
751,0,196,204
752,0,207,193
753,0,193,207
754,0,196,204
755,0,193,207
756,0,190,210
757,0,213,187
758,0,213,187
759,0,216,184
760,0,216,184
761,0,187,213
762,0,184,216
763,0,216,184
764,0,213,187
765,0,210,190
766,0,193,207
767,0,210,190
768,0,190,210
769,0,193,207
770,0,210,190
771,0,187,213
772,0,213,187
773,0,190,210
774,0,193,207
775,0,204,196
776,0,193,207
777,0,207,193
778,0,196,204
779,0,207,193
780,0,210,190
781,0,210,190
782,0,193,207
783,0,210,190
784,0,190,210
785,0,207,193
786,0,204,196
787,0,201,199
788,0,201,199
789,0,199,201
790,0,196,204
791,0,204,196
792,0,207,193
793,0,207,193
794,0,196,204
795,0,199,201
796,0,199,201
797,0,196,204
798,0,196,204
799,0,193,207
800,0,210,190
801,0,210,190
802,0,213,187
803,0,184,216
804,0,181,219
805,0,222,178
806,0,178,222
807,0,181,219
808,0,184,216
809,0,187,213
810,0,210,190
811,0,187,213
812,0,187,213
813,0,216,184
814,0,184,216
815,0,213,187
816,0,216,184
817,0,184,216
818,0,187,213
819,0,190,210
820,0,213,187
821,0,213,187
822,0,210,190
823,0,193,207
824,0,204,196
825,0,207,193
826,0,210,190
827,0,187,213
828,0,184,216
829,0,219,181
830,0,181,219
831,0,184,216
832,0,187,213
833,0,210,190
834,0,213,187
835,0,213,187
836,0,190,210
837,0,193,207
838,0,196,204
839,0,201,199
840,0,204,196
841,0,193,207
842,0,190,210
843,0,210,190
844,0,193,207
845,0,196,204
846,0,199,201
847,0,201,199
848,0,196,204
849,0,204,196
850,0,199,201
851,0,204,196
852,0,204,196
853,0,199,201
854,0,199,201
855,0,199,201
856,0,204,196
857,0,196,204
858,0,201,199
859,0,199,201
860,0,201,199
861,0,199,201
862,0,196,204
863,0,207,193
864,0,227,173
865,0,176,224
866,0,221,179
867,0,224,176
868,0,173,227
869,0,227,173
870,0,176,224
871,0,221,179
872,0,176,224
873,0,224,176
874,0,215,185
875,0,188,212
876,0,188,212
877,0,188,212
878,0,209,191
879,0,185,215
880,0,215,185
881,0,215,185
882,0,185,215
883,0,188,212
884,0,218,182
885,0,185,215
886,0,209,191
887,0,188,212
888,0,215,185
889,0,218,182
890,0,218,182
891,0,182,218
892,0,218,182
893,0,212,188
894,0,209,191
895,0,188,212
896,0,215,185
897,0,215,185
898,0,218,182
899,0,218,182
900,0,215,185
901,0,212,188
902,0,218,182
903,0,218,182
904,0,179,221
905,0,224,176
906,0,224,176
907,0,173,227
908,0,227,173
909,0,179,221
910,0,185,215
911,0,212,188
912,0,209,191
913,0,212,188
914,0,218,182
915,0,182,218
916,0,215,185
917,0,215,185
918,0,188,212
919,0,212,188
920,0,209,191
921,0,212,188
922,0,215,185
923,0,182,218
924,0,182,218
925,0,185,215
926,0,188,212
927,0,209,191
928,0,212,188
929,0,185,215
930,0,215,185
931,0,212,188
932,0,209,191
933,0,188,212
934,0,188,212
935,0,185,215
936,0,215,185
937,0,188,212
938,0,194,206
939,0,191,209
940,0,209,191
941,0,206,194
942,0,204,196
943,0,204,196
944,0,207,193
945,0,193,207
946,0,210,190
947,0,187,213
948,0,187,213
949,0,210,190
950,0,193,207
951,0,204,196
952,0,199,201
953,0,201,199
954,0,196,204
955,0,193,207
956,0,207,193
957,0,204,196
958,0,201,199
959,0,196,204
960,0,204,196
961,0,201,199
962,0,196,204
963,0,204,196
964,0,199,201
965,0,201,199
966,0,199,201
967,0,196,204
968,0,207,193
969,0,207,193
970,0,196,204
971,0,201,199
972,0,196,204
973,0,196,204
974,0,199,201
975,0,199,201
976,0,201,199
977,0,201,199
978,0,199,201
979,0,204,196
980,0,207,193
981,0,193,207
982,0,204,196
983,0,193,207
984,0,207,193
985,0,196,204
986,0,199,201
987,0,196,204
988,0,207,193
989,0,207,193
990,0,204,196
991,0,207,193
992,0,207,193
993,0,193,207
994,0,204,196
995,0,207,193
996,0,207,193
997,0,207,193
998,0,207,193
999,0,210,190
1000,0,210,190
1001,0,213,187
1002,0,187,213
1003,0,184,216
1004,0,184,216
1005,0,187,213
1006,0,210,190
1007,0,207,193
1008,0,190,210
1009,0,213,187
1010,0,213,187
1011,0,210,190
1012,0,207,193
1013,0,196,204
1014,0,201,199
1015,0,204,196
1016,0,207,193
1017,0,210,190
1018,0,190,210
1019,0,193,207
1020,0,196,204
1021,0,201,199
1022,0,204,196
1023,0,193,207
1024,0,193,207
1025,0,196,204
1026,0,199,201
1027,0,199,201
1028,0,199,201
1029,0,199,201
1030,0,204,196
1031,0,193,207
1032,0,207,193
1033,0,210,190
1034,0,190,210
1035,0,213,187
1036,0,184,216
1037,0,184,216
1038,0,213,187
1039,0,190,210
1040,0,187,213
1041,0,213,187
1042,0,210,190
1043,0,187,213
1044,0,213,187
1045,0,207,193
1046,0,196,204
1047,0,201,199
1048,0,201,199
1049,0,196,204
1050,0,196,204
1051,0,199,201
1052,0,204,196
1053,0,224,176
1054,0,224,176
1055,0,221,179
1056,0,182,218
1057,0,215,185
1058,0,212,188
1059,0,191,209
1060,0,188,212
1061,0,185,215
1062,0,185,215
1063,0,188,212
1064,0,215,185
1065,0,215,185
1066,0,188,212
1067,0,209,191
1068,0,206,194
1069,0,203,197
1070,0,201,199
1071,0,199,201
1072,0,204,196
1073,0,196,204
1074,0,207,193
1075,0,207,193
1076,0,204,196
1077,0,199,201
1078,0,201,199
1079,0,199,201
1080,0,201,199
1081,0,204,196
1082,0,204,196
1083,0,201,199
1084,0,199,201
1085,0,196,204
1086,0,204,196
1087,0,201,199
1088,0,196,204
1089,0,204,196
1090,0,193,207
1091,0,193,207
1092,0,196,204
1093,0,201,199
1094,0,199,201
1095,0,204,196
1096,0,207,193
1097,0,210,190
1098,0,210,190
1099,0,187,213
1100,0,216,184
1101,0,184,216
1102,0,213,187
1103,0,190,210
1104,0,207,193
1105,0,196,204
1106,0,207,193
1107,0,207,193
1108,0,204,196
1109,0,201,199
1110,0,204,196
1111,0,207,193
1112,0,210,190
1113,0,190,210
1114,0,193,207
1115,0,196,204
1116,0,201,199
1117,0,196,204
1118,0,196,204
1119,0,199,201
1120,0,201,199
1121,0,199,201
1122,0,201,199
1123,0,204,196
1124,0,196,204
1125,0,207,193
1126,0,193,207
1127,0,196,204
1128,0,201,199
1129,0,199,201
1130,0,196,204
1131,0,207,193
1132,0,207,193
1133,0,210,190
1134,0,210,190
1135,0,207,193
1136,0,204,196
1137,0,193,207
1138,0,210,190
1139,0,213,187
1140,0,184,216
1141,0,216,184
1142,0,213,187
1143,0,190,210
1144,0,207,193
1145,0,196,204
1146,0,193,207
1147,0,207,193
1148,0,196,204
1149,0,201,199
1150,0,204,196
1151,0,207,193
1152,0,210,190
1153,0,187,213
1154,0,187,213
1155,0,184,216
1156,0,181,219
1157,0,219,181
1158,0,184,216
1159,0,187,213
1160,0,216,184
1161,0,184,216
1162,0,187,213
1163,0,210,190
1164,0,213,187
1165,0,213,187
1166,0,190,210
1167,0,193,207
1168,0,210,190
1169,0,210,190
1170,0,187,213
1171,0,187,213
1172,0,210,190
1173,0,187,213
1174,0,213,187
1175,0,184,216
1176,0,184,216
1177,0,187,213
1178,0,190,210
1179,0,207,193
1180,0,190,210
1181,0,190,210
1182,0,207,193
1183,0,210,190
1184,0,210,190
1185,0,207,193
1186,0,196,204
1187,0,201,199
1188,0,196,204
1189,0,196,204
1190,0,193,207
1191,0,207,193
1192,0,204,196
1193,0,193,207
1194,0,207,193
1195,0,196,204
1196,0,201,199
1197,0,199,201
1198,0,196,204
1199,0,207,193
1200,0,190,210
1201,0,210,190
1202,0,193,207
1203,0,196,204
1204,0,207,193
1205,0,207,193
1206,0,190,210
1207,0,187,213
1208,0,187,213
1209,0,190,210
1210,0,193,207
1211,0,190,210
1212,0,187,213
1213,0,213,187
1214,0,184,216
1215,0,216,184
1216,0,187,213
1217,0,190,210
1218,0,207,193
1219,0,210,190
1220,0,210,190
1221,0,207,193
1222,0,190,210
1223,0,213,187
1224,0,213,187
1225,0,184,216
1226,0,184,216
1227,0,187,213
1228,0,190,210
1229,0,207,193
1230,0,190,210
1231,0,190,210
1232,0,193,207
1233,0,196,204
1234,0,201,199
1235,0,204,196
1236,0,196,204
1237,0,201,199
1238,0,204,196
1239,0,196,204
1240,0,207,193
1241,0,207,193
1242,0,204,196
1243,0,199,201
1244,0,199,201
1245,0,204,196
1246,0,207,193
1247,0,210,190
1248,0,190,210
1249,0,207,193
1250,0,204,196
1251,0,199,201
1252,0,201,199
1253,0,201,199
1254,0,204,196
1255,0,193,207
1256,0,207,193
1257,0,190,210
1258,0,190,210
1259,0,193,207
1260,0,196,204
1261,0,199,201
1262,0,204,196
1263,0,193,207
1264,0,193,207
1265,0,204,196
1266,0,201,199
1267,0,199,201
1268,0,204,196
1269,0,204,196
1270,0,207,193
1271,0,190,210
1272,0,190,210
1273,0,207,193
1274,0,190,210
1275,0,210,190
1276,0,187,213
1277,0,213,187
1278,0,184,216
1279,0,184,216
1280,0,187,213
1281,0,190,210
1282,0,193,207
1283,0,196,204
1284,0,201,199
1285,0,201,199
1286,0,199,201
1287,0,196,204
1288,0,204,196
1289,0,199,201
1290,0,201,199
1291,0,196,204
1292,0,196,204
1293,0,161,239
1294,0,242,158
1295,0,242,158
1296,0,242,158
1297,0,155,245
1298,0,245,155
1299,0,158,242
1300,0,239,161
1301,0,242,158
1302,0,164,236
1303,0,170,230
1304,0,167,233
1305,0,227,173
1306,0,221,179
1307,0,185,215
1308,0,188,212
1309,0,215,185
1310,0,218,182
1311,0,185,215
1312,0,212,188
1313,0,215,185
1314,0,185,215
1315,0,212,188
1316,0,209,191
1317,0,206,194
1318,0,209,191
1319,0,191,209
1320,0,194,206
1321,0,197,203
1322,0,201,199
1323,0,196,204
1324,0,196,204
1325,0,199,201
1326,0,199,201
1327,0,199,201
1328,0,199,201
1329,0,201,199
1330,0,204,196
1331,0,193,207
1332,0,207,193
1333,0,210,190
1334,0,213,187
1335,0,216,184
1336,0,184,216
1337,0,187,213
1338,0,190,210
1339,0,213,187
1340,0,216,184
1341,0,184,216
1342,0,190,210
1343,0,213,187
1344,0,184,216
1345,0,181,219
1346,0,219,181
1347,0,222,178
1348,0,222,178
1349,0,219,181
1350,0,178,222
1351,0,178,222
1352,0,225,175
1353,0,172,228
1354,0,172,228
1355,0,231,169
1356,0,169,231
1357,0,228,172
1358,0,225,175
1359,0,178,222
1360,0,219,181
1361,0,184,216
1362,0,187,213
1363,0,184,216
